Company Name,State,Data Year,Utility Specific Residual Mix Emissions Rate (lbs CO2/MWh),Utility Average Emissions Rate (lbs CO2/MWh),Protocol,Emissions Certified- EPA Part 75 ,Emission Totals and Intensity Rates: Third-Party Verified
Dominion Energy South Carolina Electric and Gas,SC,2022,852,851,The Climate Registry,Yes,Part 75 - CO2 CEMS emissions/ third party - Reasonable assurance climate CDP
DTE Energy DTE Energy,MI,2021,1275,1275,Other,Yes,No
DTE Energy DTE Energy,MI,2022,1294,1294,Other,Yes,No
Duke Energy Carolinas,NC/SC,2021,592,597,WRI/WBCSD,Yes,No
Duke Energy Carolinas,NC/SC,2022,587,575,WRI/WBCSD,Yes,No
Duke Energy Duke Energy Corporation,FL/IN/KY/NC/OH/SC,2021,870,811,WRI/WBCSD,Yes,No
Duke Energy Duke Energy Corporation,FL/IN/KY/NC/OH/SC,2022,886,816,WRI/WBCSD,Yes,No
Duke Energy Florida,FL,2021,1059,1023,WRI/WBCSD,Yes,No
Duke Energy Florida,FL,2022,1048,1007,WRI/WBCSD,Yes,No
Duke Energy Indiana,IN,2021,1816,1781,WRI/WBCSD,Yes,No
Duke Energy Indiana,IN,2022,1823,1788,WRI/WBCSD,Yes,No
Duke Energy Kentucky,KY,2021,1905,1900,WRI/WBCSD,Yes,No
Duke Energy Kentucky,KY,2022,2065,2060,WRI/WBCSD,Yes,No
Duke Energy Ohio,OH,2022,1171,1171,WRI/WBCSD,Yes,No
Duke Energy Ohio,OH,2021,2302,2302,WRI/WBCSD,Yes,No
Duke Energy Progress,NC/SC,2021,580,544,WRI/WBCSD,Yes,No
Duke Energy Progress,NC/SC,2022,622,582,WRI/WBCSD,Yes,No
Edison International Southern California Edison,CA,2021,450,450,The Climate Registry,Yes,No
Edison International Southern California Edison,CA,2022,443,442,The Climate Registry,Yes,No
El Paso Electric  El Paso Electric Company,NM/TX,2021,518,518,WRI/WBCSD,Yes,No
El Paso Electric  El Paso Electric Company,NM/TX,2022,487,487,WRI/WBCSD,Yes,No
Emera Tampa Electric,FL,2021,943,943,WRI/WBCSD,Yes,No
Emera Tampa Electric,FL,2022,883,883,WRI/WBCSD,Yes,No
Entergy Corporation Entergy Arkansas,AR,2021,444,444,WRI/WBCSD,Yes,Other
Entergy Corporation Entergy Arkansas,AR,2022,498.45,502.24,WRI/WBCSD,Yes,Other
Entergy Corporation Entergy Louisiana,LA,2021,702,699,WRI/WBCSD,Yes,Other
Entergy Corporation Entergy Louisiana,LA,2022,743.61,743.62,WRI/WBCSD,Yes,Other
Entergy Corporation Entergy Mississippi,MS,2021,719,719,WRI/WBCSD,Yes,Other
Entergy Corporation Entergy Mississippi,MS,2022,835.88,835.88,WRI/WBCSD,Yes,Other
Entergy Corporation Entergy New Orleans,LA,2021,388,388,WRI/WBCSD,Yes,Other
Entergy Corporation Entergy New Orleans,LA,2022,467.09,467.09,WRI/WBCSD,Yes,Other
Entergy Corporation Entergy Texas,TX,2021,1019,1043,WRI/WBCSD,Yes,Other
Entergy Corporation Entergy Texas,TX,2022,1081.99,1081.99,WRI/WBCSD,Yes,Other
Exelon Atlantic City Electric,NJ,2021,749,843,Other,Yes,ISO 14001
